market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-XRP,2023-12-20T04:30:00,2023-12-20T13:30:00,830.0,830.0,829.0,830.0,1703046626073,3922504.88956931,4727.87679065,1
KRW-XRP,2023-12-20T04:29:00,2023-12-20T13:29:00,829.0,830.0,829.0,829.0,1703046598869,60858684.60208644,73344.56912707,1
KRW-XRP,2023-12-20T04:28:00,2023-12-20T13:28:00,829.0,830.0,829.0,830.0,1703046534660,190113657.58289483,229301.65373099,1
KRW-XRP,2023-12-20T04:27:00,2023-12-20T13:27:00,829.0,830.0,829.0,829.0,1703046476503,255600046.60074377,308313.07485426,1
KRW-XRP,2023-12-20T04:26:00,2023-12-20T13:26:00,829.0,829.0,828.0,828.0,1703046409858,24460279.23898135,29518.81201697,1
KRW-XRP,2023-12-20T04:25:00,2023-12-20T13:25:00,828.0,829.0,828.0,829.0,1703046359374,49906370.41893624,60231.20148803,1
KRW-XRP,2023-12-20T04:24:00,2023-12-20T13:24:00,829.0,829.0,828.0,828.0,1703046298770,51585573.62038187,62231.93586054,1
KRW-XRP,2023-12-20T04:23:00,2023-12-20T13:23:00,829.0,829.0,828.0,829.0,1703046238272,22635482.68132235,27313.25797954,1
KRW-XRP,2023-12-20T04:22:00,2023-12-20T13:22:00,829.0,829.0,828.0,829.0,1703046179430,19974768.64840602,24111.3900638,1
KRW-XRP,2023-12-20T04:21:00,2023-12-20T13:21:00,828.0,829.0,827.0,829.0,1703046116015,106482299.13538755,128585.16863719,1
KRW-XRP,2023-12-20T04:20:00,2023-12-20T13:20:00,829.0,829.0,828.0,828.0,1703046058121,145016655.36993816,175064.64351645,1
KRW-XRP,2023-12-20T04:19:00,2023-12-20T13:19:00,829.0,829.0,828.0,829.0,1703045997924,58755942.20945419,70883.51761393,1
KRW-XRP,2023-12-20T04:18:00,2023-12-20T13:18:00,828.0,829.0,828.0,829.0,1703045938058,122589442.18271537,148021.08518173,1
KRW-XRP,2023-12-20T04:17:00,2023-12-20T13:17:00,828.0,828.0,827.0,828.0,1703045877513,342804039.7081553,414032.07933507,1
KRW-XRP,2023-12-20T04:16:00,2023-12-20T13:16:00,827.0,828.0,827.0,827.0,1703045816260,21054481.74317209,25442.9459539,1
KRW-XRP,2023-12-20T04:15:00,2023-12-20T13:15:00,828.0,828.0,827.0,827.0,1703045758278,26153600.5452137,31621.05023472,1
